Idaea asceta
Idaea angulata
Idaea adipata
Euacidalia certissa
Arcobara perlineata
Scopula umbilicata
Scopula privata
Scopula phyxelis
Scopula eburneata
Scopula compensata
Scopula candida
Scopula calotis
Scopula benitaria
Scopula apparitaria
Idaea derosa
Idaea vagula
Idaea elata
Idaea flavicosta
Idaea triangulata
Idaea tacturata
Idaea subfervens
Idaea subcrinita
Idaea speciosa
Idaea similinea
Idaea rosinaria
Idaea purpureovittata
Idaea prusias
Idaea prolixa
Idaea posides
Idaea pervertipennis
Idaea orilochia
Idaea muscifasciata
Idaea kendallaria
Idaea helleria
Idaea griseinitens
Idaea gemma
Idaea furciferata
Idaea fervens
Psaliodes samaniegoi
Psaliodes posides
Psaliodes pomona
Spargania daphne
Spargania cyllene
Spargania cultata
Spargania augustaria
Hagnagora unnia
Hagnagora mortipax
Hagnagora mirandahenrichae
Hagnagora marionae
Hagnagora ephestris
Hagnagora elianne
Hagnagora clustimena
Hagnagora anicata
Dasciopteryx polymenes
Dasciopteryx aristophilides
Dyspteris vecinaria
Dyspteris trifilaria
Dyspteris tenuivitta
Dyspteris subvariata
Brabirodes cerevia
Spargania myrtusaria
Eois zorra
Spargania privernaria
Euphyia albipennis
Erebochlora tesserulata
Erateina staudingeri
Erateina rogersi
Anemplocia splendens
Euphyia subguttaria
Euphyia sturnularia
Euphyia strenuaria
Euphyia psyra
Euphyia pontina
Euphyia nigrolineata
Euphyia maxima
Euphyia linusaria
Euphyia impersonata
Euphyia emberizata
Euphyia crispa
Euphyia colonaria
Euphyia circumcidata
Euphyia cinerascens
Euphyia avolaria
Spargania subcuprea
Crocypus perlucidaria
Eois zenobia
Eois undulosata
Eois marcearia
Eois lavinia
Eois isographata
Eois isabella
Eois insueta
Eois insignata
Eois guapa
Eois goodmani
Eois fasciata
Eois elongata
Eois dryope
Eois dryantis
Eois dorisaria
Eois dissensa
Eois dione
Eois dibapha
Eois deleta
Eois crocina
Eois concatenata
Eois margarita
Eois xanthoperata
Eois mediogrisea
Eois multilunata
Eois toporata
Eois thetisaria
Eois saria
Eois russearia
Eois rubicunda
Eois restrictata
Eois plumbeofusa
Eois parva
Eois operbula
Eois olivacea
Eois occia
Eois obada
Eois nympha
Eois nundina
Eois numida
Eois nigrosticta
Eois naias
Eois myrrha
Eois multistrigaria
Eois mexicaria
Eubaphe conformis
Eubaphe lobula
Eubaphe medea
Pterocypha gibberosa
Hydriomena vernata
Hydriomena tectoria
Hydriomena proba
Hydriomena polyphonta
Hydriomena picturata
Hydriomena musga
Hydriomena multangulata
Hydriomena lucifuga
Hydriomena gosala
Hydriomena furinae
Hydriomena fractisignata
Hydriomena fassli
Hydriomena excelsa
Hydriomena cydippe
Hydriomena cuma
Hydriomena confusa
Hydriomena cachiria
Hydriomena algosa
Perizoma basiplaga
Hammaptera viridifusata
Perizoma cinereolimitata
Psaliodes apicenotata
